ModelFile;PositionX;PositionY;PositionZ;RotationW;RotationX;RotationY;RotationZ;ScaleFactor;DoodadSet
generalhanginglantern01.obj;-30.709020000;-0.097571950;16.053590000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.47;Default
generalhanginglantern01.obj;-30.709020000;0.467490700;25.797950000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.47;Default
generalhanginglanternlong.obj;-18.113610000;-12.365800000;48.665980000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.826389;Default
generalhanginglanternlong.obj;-42.859670000;-12.380260000;48.665980000;1.000000000000000;0.000000000000000;0.000000000000000;0.000000021855690;1.826389;Default
generalhanginglanternlong.obj;-42.874130000;12.365800000;48.665980000;0.707106800000000;0.000000000000000;0.000000000000000;-0.707106800000000;1.826389;Default
generalhanginglanternlong.obj;-18.128070000;12.380260000;48.665980000;0.000000021855690;0.000000000000000;0.000000000000000;-1.000000000000000;1.826389;Default
candelabratall02.obj;-28.968010000;-17.558760000;25.013780000;0.675590200000000;0.000000000000000;0.000000000000000;0.737277400000000;1;Default
candelabratall02.obj;-16.999010000;-11.336980000;25.013780000;-0.342020100000000;0.000000000000000;0.000000000000000;-0.939692600000000;0.9999998;Default
candelabratall02.obj;-12.935110000;1.525855000;25.013780000;0.043619480000000;0.000000000000000;0.000000000000000;-0.999048200000000;0.9999999;Default
candelabratall02.obj;-19.156900000;13.494860000;25.013780000;0.422618300000000;0.000000000000000;0.000000000000000;-0.906307800000000;0.9999999;Default
candelabratall02.obj;-32.019730000;17.558760000;25.013780000;0.737277400000000;0.000000000000000;0.000000000000000;-0.675590100000000;1;Default
candelabratall02.obj;-43.988740000;11.336960000;25.013780000;0.939692700000000;0.000000000000000;0.000000000000000;-0.342019900000000;0.9999999;Default
candelabratall02.obj;-48.052630000;-1.525867000;25.013780000;0.999048200000000;0.000000000000000;0.000000000000000;0.043619650000000;1;Default
candelabratall02.obj;-41.830830000;-13.494870000;25.013780000;0.906307600000000;0.000000000000000;0.000000000000000;0.422618500000000;0.9999999;Default
candelabratall02.obj;-44.218030000;-1.964236000;15.819740000;0.999390800000000;0.000000000000000;0.000000000000000;0.034899760000000;1;Default
candelabratall02.obj;-26.746860000;-13.299640000;12.564700000;0.656058800000000;0.000000000000000;0.000000000000000;0.754709700000000;1;Default
candelabratall02.obj;-28.872540000;13.647740000;19.243610000;0.656059300000000;0.000000000000000;0.000000000000000;-0.754709400000000;0.9345793;Default
candelabratall02.obj;-16.243470000;0.090109090;15.820180000;0.039260060000000;0.000000000000000;0.000000000000000;-0.999229000000000;1;Default
candelabratall02.obj;-39.538780000;10.631570000;-0.684575400;0.938191500000000;0.000000000000000;0.000000000000000;-0.346116800000000;1;Default
candelabratall02.obj;-29.116290000;8.036466000;-0.684575400;0.863835600000000;0.000000000000000;0.000000000000000;-0.503773700000000;1;Default
candelabratall02.obj;-36.957610000;-4.638076000;-0.684575400;0.946930100000000;0.000000000000000;0.000000000000000;0.321439700000000;0.9999999;Default
candelabratall02.obj;-43.741230000;3.483497000;6.766456000;0.990268100000000;0.000000000000000;0.000000000000000;-0.139172800000000;0.9345794;Default
blastedlandsskull01.obj;-29.863820000;0.677261800;0.320539700;0.737675800000000;-0.055677500000000;0.061296140000000;0.670057600000000;1;A
blastedlandsskull02.obj;-30.312190000;0.488635300;0.314202200;0.526512800000000;-0.096001790000000;0.059988540000000;0.842596800000000;1;A
carnosaurskull.obj;-30.230730000;-2.203204000;0.464613200;0.942641400000000;0.000000000000000;0.000000000000000;-0.333806900000000;0.9999999;A
generalbookstackshort01.obj;-28.617410000;-2.460145000;0.318013500;0.925540500000000;0.000000000000000;0.000000000000000;-0.378648600000000;1.09;A
generalbookstacktall01.obj;-28.250330000;-1.155193000;0.315639900;0.859406400000000;0.000000000000000;0.000000000000000;0.511293100000000;1.09;A
generalbookstacktall01.obj;-28.867170000;-0.363199900;0.306993300;0.082808250000000;0.000000000000000;0.000000000000000;-0.996565500000000;1.009259;A
greenbottle02.obj;-29.523050000;-1.496368000;0.315148300;-0.004363314000000;0.000000000000000;0.000000000000000;-0.999990500000000;1.25;A
greenbottle02.obj;-29.503750000;-0.982600500;0.315148300;-0.004363315000000;0.000000000000000;0.000000000000000;-0.999990500000000;1.204955;A
abbeyshelf01.obj;-38.722380000;-1.038498000;-0.713677300;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1;A
carnosaurskull.obj;-18.863750000;-13.948950000;34.760880000;0.728371000000000;0.000000000000000;0.000000000000000;-0.685183000000000;1;A
generalbookstackshort01.obj;-17.963240000;-15.312000000;34.614280000;0.694658400000000;0.000000000000000;0.000000000000000;-0.719339800000000;1.09;A
generalbookstacktall01.obj;-16.585950000;-13.711180000;34.603260000;-0.325568100000000;0.000000000000000;0.000000000000000;-0.945518600000000;1.009259;A
blastedlandsskull01.obj;-16.492160000;-12.273450000;34.616800000;0.945066600000000;-0.026275430000000;0.078528960000000;0.316214900000000;1;A
inntable.obj;-17.177500000;-13.720070000;33.661420000;-0.406736600000000;0.000000000000000;0.000000000000000;-0.913545500000000;1;A
generalbookstacktall01.obj;-16.753140000;-14.701030000;34.611900000;0.992546100000000;0.000000000000000;0.000000000000000;0.121869400000000;1.09;A
abbeyshelf01.obj;-49.117520000;13.560120000;33.798200000;0.927183800000000;0.000000000000000;0.000000000000000;0.374606600000000;1;A
abbeyshelf01.obj;-11.870220000;-13.560120000;33.798200000;0.374606700000000;0.000000000000000;0.000000000000000;-0.927183800000000;0.9999998;A
abbeyshelf01.obj;-17.100630000;-18.611080000;33.798200000;0.374606700000000;0.000000000000000;0.000000000000000;-0.927183800000000;0.9999998;A
abbeyshelf01.obj;-45.946160000;7.733171000;24.978870000;0.845727800000000;0.000000000000000;0.000000000000000;0.533614600000000;1;A
abbeyshelf01.obj;-46.888460000;-5.458239000;24.978870000;0.577145200000000;0.000000000000000;0.000000000000000;0.816641600000000;0.9999999;A
abbeyshelf01.obj;-25.035630000;-16.394590000;24.978870000;0.169349700000000;0.000000000000000;0.000000000000000;-0.985556000000000;1;A
abbeyshelf01.obj;-15.041580000;-7.733169000;24.978870000;0.533614600000000;0.000000000000000;0.000000000000000;-0.845727700000000;0.9999999;A
abbeyshelf01.obj;-14.099280000;5.458239000;24.978870000;0.816641700000000;0.000000000000000;0.000000000000000;-0.577145000000000;1;A
abbeyshelf01.obj;-22.760710000;15.452280000;24.978870000;0.975342300000000;0.000000000000000;0.000000000000000;-0.220697300000000;1;A
stormwindpainting01.obj;-13.382440000;17.092860000;38.007300000;0.388147600000000;-0.084096880000000;-0.031375960000000;-0.917215700000000;0.8536587;A
stormwindpainting03.obj;-47.605300000;-17.092860000;38.007300000;0.917215700000000;0.031375960000000;-0.084096860000000;0.388147700000000;0.8536587;A
stormwindpainting02.obj;-47.586730000;17.111430000;38.007300000;0.923031300000000;-0.037279310000000;-0.081651610000000;-0.374107700000000;0.8536586;A
stormwindpainting05.obj;-18.963960000;-13.778560000;29.508630000;-0.405024200000000;0.051788790000000;-0.032341080000000;-0.912264900000000;0.9999999;A
stormwindpainting05.obj;-42.023640000;13.778690000;29.508630000;0.914023600000000;0.032114800000000;0.051929410000000;-0.401039800000000;0.9999999;A
stormwindpainting01.obj;-32.082160000;-17.895900000;29.508630000;0.749748600000000;-0.033491730000000;0.051052230000000;0.658899800000000;0.9999999;A
stormwindpainting01.obj;-28.905970000;17.895940000;29.508630000;0.652332100000000;0.051342540000000;0.033044950000000;-0.755469900000000;0.9999999;A
stormwindpainting03.obj;-12.597920000;-1.587901000;29.508630000;-0.072929490000000;0.059670970000000;-0.012938350000000;-0.995466400000000;1;A
stormwindpainting03.obj;-48.389820000;1.587901000;29.508630000;0.995466400000000;0.012938360000000;0.059670960000000;-0.072929610000000;1;A
stormwindpainting04.obj;-16.715170000;11.529760000;29.508630000;0.362734300000000;0.059428230000000;0.014011040000000;-0.929890200000000;0.9999999;A
